0001-1541	aiche j
0001-2092	aorn j
0001-2815	tissue antigens
0001-2998	semin nucl med
0001-4001	chirurgie
0001-4346	math notes acad sci ussr
0001-4575	accident anal prev
0001-5172	acta anaesthesiol scand
0001-5296	acta biol crac ser bot
0001-5342	acta biotheor
0001-544X	acta chir austriaca
0001-5563	acta diabetol lat
0001-5709	acta geol pol
0001-5717	dìzhìxué bào
0001-5903	acta inf
0001-5954	acta math acad sci hung
0001-5962	acta math
0001-5970	acta mech
0001-6160	acta metall
0001-6268	acta neurochir
0001-6314	acta neurol scand
0001-6322	acta neuropathol
0001-6349	acta obstet gynecol scand
0001-6519	acta otorrinolaringol esp
0001-6705	acta phys acad sci hung
0001-6772	acta physiol scand
0001-690X	acta psychiatr scand
0001-6918	acta psychol
0001-706X	acta trop
0001-7272	acta zool
0001-7310	actas dermo sifiliogr
0001-7701	gen relativ gravit
0001-8244	behav genet
0001-8686	adv colloid interface sci
0001-8708	adv math
0001-8716	adv mol relax processes
0001-8791	j vocat behav
0001-9054	aequ math
0001-9909	afr aff
0002-0729	age ageing
0002-1571	agric meteorol
0002-5232	algebra logic
0002-7189	j am acad relig
0002-7820	j am ceram soc
0002-8223	j am diet assoc
0002-8231	j am soc inf sci
0002-8606	trans am geophys union
0002-8614	j am geriatr soc
0002-8703	am heart j
0002-8762	am hist rev
0002-9092	am j agr econ
0002-9149	am j cardiol
0002-9211	am j dig dis
0002-9246	am j econ sociol
0002-9262	am j epidemiol
0002-9270	am j gastroenterol
0002-9297	am j hum genet
0002-9343	am j med
0002-9378	am j obstet gynecol
0002-9394	am j ophthalmol
0002-9416	am j orthod
0002-9432	am j orthopsychiatr
0002-9440	am j pathol
0002-9483	am j phys anthropol
0002-9610	am j surg
0003-021X	j am oil chem soc
0003-0589	am potato j
0003-1232	am sociol
0003-1569	am zool
0003-2638	analysis
0003-2670	anal chim acta
0003-2697	anal biochem
0003-3146	angew makromol chem
0003-3170	angiologia
0003-3472	anim behav
0003-3480	anim blood groups biochem genet
0003-3804	ann phys
0003-3928	ann cardiol angeiol
0003-3944	ann chir
0003-3995	ann génét
0003-4339	ann sci nat zool biol anim
0003-4347	ann télécommun
0003-4401	ann urol
0003-4487	ann méd psychol
0003-4592	ann chim
0003-4746	ann appl biol
0003-4878	ann occup hyg
0003-4916	ann phys
0003-4967	ann rheum dis
0003-4975	ann thorac surg
0003-5017	année biol
0003-5521	anthropologie
0003-5696	antike abendl
0003-6072	antonie van leeuwenhoek
0003-6307	anz schädlingskd pflanzenschutz
0003-6390	apeiron
0003-682X	appl acoust
0003-6870	appl ergon
0003-6994	appl sci res
0003-7982	arcadia
0003-813X	archaeometry
0003-8504	archit des
0003-889X	arch math
0003-9012	arch gesamte virusforsch
0003-9039	arch elektrotech
0003-9101	arch gesch philos
0003-9128	arch gynäkol
0003-9187	arch dermatol forsch
0003-9195	arch klin exp ohren nasen kehlkopfheilkd
0003-9217	arch kreislaufforsch
0003-9268	arch math logik grundlagenforsch
0003-9276	arch mikrobiol
0003-9330	arch orthop unfall chir
0003-9365	arch protistenkd
0003-9373	arch psychiatr nervenkr
0003-9446	arch toxikol
0003-9519	arch hist exact sci
0003-9527	arch ration mech anal
0003-9861	arch biochem biophys
0003-9888	arch dis child
0003-9969	arch oral biol
0003-9993	arch phys med rehabil
0004-0002	arch sex behav
0004-0738	arch bud masz
0004-0746	arch elektrotech
0004-0894	area
0004-1254	arh hig rada toksikol
0004-2080	ark mat
0004-3702	artif intell
0004-6337	astron nachr
0004-640X	astrophys space sci
0004-6981	atmos environ
0004-8291	aust n z j med
0004-8380	australas j dermatol
0004-8461	australas radiol
0004-8666	aust n z j obstet gynaecol
0004-8682	aust n z j surg
0004-9190	aust geogr stud
0004-9530	aust j psychol
0004-9581	aust j stat
0005-0423	aust vet j
0005-1098	automatica
0005-2728	biochim biophys acta bioenerg
0005-2736	biochim biophys acta biomembr
0005-2744	biochim biophys acta enzymol
0005-2760	biochim biophys acta l lipids lipid metab
0005-2787	biochim biophys acta n nucleic acids and protein synth
0005-2795	biochim biophys acta protein struct
0005-7894	behav ther
0005-7916	j behav ther exp psychiatry
0005-7940	behav sci
0005-7959	behaviour
0005-7967	behav res ther
0005-8025	beitr plasmaphys
0005-8076	beitr gesch dtsch sprache lit
0005-8165	beitr pathol
0005-8580	bell syst tech j
0005-9021	ber bunsenges phys chem
0005-9900	beton stahlbetonbau
0006-2294	bijdr taal land volkenkd
0006-291X	biochem biophys res commun
0006-2928	biochem genet
0006-2944	biochem med
0006-2952	biochem pharmacol
0006-3002	biochim biophys acta
0006-3061	bioinorg chem
0006-3134	biol plant
0006-3207	biol conserv
0006-3223	biol psychiatry
0006-3398	biomed eng
0006-341X	biometrics
0006-3444	biometrika
0006-3452	biometr z
0006-3495	biophys j
0006-3517	biophysik
0006-3525	biopolymers
0006-355X	biorheology
0006-3592	biotechnol bioeng
0006-3606	biotropica
0006-3835	bit
0006-5242	blut
0006-8055	bot mar
0006-808X	shokubutsugaku zasshi
0006-8101	bot rev
0006-8314	boundary layer meteorol
0006-8950	brain
0006-8993	brain res
0007-0769	br heart j
0007-0882	br j philos sci
0007-0890	br j addict alcohol other drugs
0007-0904	br j aesthet
0007-0912	br j anaesth
0007-0955	br j criminol delinq deviant soc behav
0007-0963	br j dermatol
0007-0971	br j dis chest
0007-0998	br j educ psychol
0007-1013	br j educ technol
0007-1072	br j ind med
0007-1080	br j ind relat
0007-1102	br j math stat psychol
0007-1129	br j med psychol
0007-1161	br j ophthalmol
