istex_id	corpus	pub_year	author_1	title	src_query
0268554DE1234AA86E75D3A82BF474E3D0EC8912	bmj	1959	Harris	Some Hazards in the Manufacture and Use of Plastics	corpusName:bmj AND publicationDate:[* TO 1959] AND qualityIndicators.pdfVersion:1.3
A571D337E874AA297640BF65A501B449C9CEB543	bmj	1959	Gordon	Patterns of Sickness Absence in a Railway Population	corpusName:bmj AND publicationDate:[* TO 1959] AND qualityIndicators.pdfVersion:1.3
3470AD5402F6B01EC2E791BDACB29F268E94BA2A	bmj	1877	UNKNOWN	Letters, Notes, and Answers to Correspondents	corpusName:bmj AND publicationDate:[* TO 1959] AND qualityIndicators.pdfVersion:1.5
79F99AE899F772231C1AFE4F134DD1D8E01E053C	bmj	1942	UNKNOWN	Nominees for California Legislature	corpusName:bmj AND publicationDate:[* TO 1959] AND qualityIndicators.pdfVersion:1.6
F198709A6E079D334F3632A003D71E4AE8D6B1EC	bmj	1975	Doniach	Prevalence of asbestos bodies in a necropsy series in East London: association with disease, occupation, and domiciliary address.	corpusName:bmj AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.3
65A32F1CBC001F940DF318C1B3733775A4262796	bmj	1979	Yu	Total parenteral nutrition in very low birthweight infants	corpusName:bmj AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.3
1481295BB8006ED700ABD3647E41F5A3353B179D	bmj	1968	UNKNOWN	Are amphetamines any use?	corpusName:bmj AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.4
B6642B55F66F2B1DD1EDAAE5AF52C6691B97C12B	bmj	1973	UNKNOWN	Chemotherapy in hodgkin’s disease (lymphadenoma)	corpusName:bmj AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.4
57101A5939615C95F2FB85E472205DBD31E4E302	bmj	1984	Saracci	Mortality and incidence of cancer of workers in the man made vitreous fibres producing industry: an international investigation at 13 European plants.	corpusName:bmj AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.3
080449859F431E1FDE7B4E7FB624917682B2B8A4	bmj	1988	Simpson	The map of chromosome 20.	corpusName:bmj AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.3
E9BD7E71D56885A06C17801634D285BB71596240	bmj	1980	UNKNOWN	Helping elderly patients to manage their medicines	corpusName:bmj AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.4
