istex_id	corpus	pub_year	pub_period	pdfver	pdfwc	bibnat	author_1	lang	doctype_1	cat_sci	title
32ACC66CBB3138070E5FE819DA0771AC219726E9	els	1989	[1990 TO 1999]	1.2	506	False	UNKNOWN	unknown	UNKOWN_GENRE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS/ENGINEERING, CIVIL	Announcement
A5432A10A0FCD61C74A7224A9183DD077CF09BB1	wil	2007	[2000 TO *]	1.3	5831	True	Agustí	eng	Serial article	UNKOWN_SCI_CAT	Solar Radiation‐induced Mortality of Marine Pico‐phytoplankton in the Oligotrophic Ocean†
168AC9063C04EE6E771260EB0F0CAE714E0E4927	els	1998	[1990 TO 1999]	1.2	747	False	UNKNOWN	unknown	UNKOWN_GENRE	METALLURGY & METALLURGICAL ENGINEERING/MATERIALS SCIENCE	Formation and thermal stability of mechanically alloyed copper-titanium-nickel
ED5E15694C72701E76C891256143B03CDB8D4C65	oup	1983	[1980 TO 1989]	1.4	403	False	Shea	unknown	abstract	CARDIAC & CARDIOVASCULAR SYSTEMS	Beneficial Effects of Nafazatrom in Experimental Models of Coronary Thrombosis and Myocardial Ischemia
44D9EE9F5E5BC5DE8240EC5A5C3423AE32508EF3	wil	1908	[* TO 1959]	1.6	2070	True	UNKNOWN	eng	Serial article	UNKOWN_SCI_CAT	Abstracts and reviews
9C12CBC2CDB61154C26A020A05245CA8C35E12BC	wil	1994	[1990 TO 1999]	1.3	2148	True	Hwang	eng	Serial article	UNKOWN_SCI_CAT	Charge Density Studies of Thiathiophthene. 4 Theoretical Studies on 2,5‐Dimethyl Thiathiophthene and 2,4‐Diphenyl Thlathiophthene with Density Functional Method
BE5C442632B70D8BFB9842D066FE2B1CE8D84DBA	wil	1874	[* TO 1959]	1.3	816	True	Wagner	eng	Serial article	UNKOWN_SCI_CAT	Berichtigung
2B637EAA52EE8D54FEA49E6161B0F47946347CBB	wil	1993	[1990 TO 1999]	1.4	714	True	MARX	eng	Serial article	UNKOWN_SCI_CAT	Myasthenia Gravis‐Associated Thymic Epithelial Tumors Express Neurofilaments and Are Associated with Antiaxonal Autoimmunity
51B9C34869010A29DFAE427DDAB902A4DF82287D	els	1997	[1990 TO 1999]	1.2	9855	True	Wolfsdorf	unknown	UNKOWN_GENRE	METALLURGY/METALLURGY & METALLURGICAL ENGINEERING/MATERIALS SCIENCE/MATERIALS SCIENCE, MULTIDISCIPLINARY	The morphology of high volume fraction solid-liquid mixtures: An application of microstructural tomography
A687D24A42399E6EBAB79323004AA560DB13D567	els	1994	[1990 TO 1999]	1.3	6617	True	McIntosh	eng	UNKOWN_GENRE	ENERGY & FUELS/ENGINEERING/ENGINEERING, CHEMICAL/ENGINEERING, MECHANICAL/ENGINEERING, MULTIDISCIPLINARY/THERMODYNAMICS	Autoignition of combustible fluids in porous insulation materials
820E55BEBED8EC482C1F2FF094AA08794A4DA7B9	oup	2002	[2000 TO *]	1.2	4362	True	Passlick	unknown	research-article	CARDIAC & CARDIOVASCULAR SYSTEMS/RESPIRATORY SYSTEM/SURGERY	Mediastinal lymphadenectomy in non-small cell lung cancer: effectiveness in patients with or without nodal micrometastases — results of a preliminary study
BAA625BD41488BE989161C39D880DF178614D1A1	wil	1990	[1990 TO 1999]	1.3	2056	True	Bäuerle	eng	Serial article	UNKOWN_SCI_CAT	Facile Synthesis of 3‐(ω‐Haloalkyl)thiophenes as Key Building Blocks for Functionalized Thiophenes and Polythiophenes
A2160E84C2244C1EBB26C5A3AB61DB44E0E006E8	els	1999	[2000 TO *]	1.3	5973	True	MD	eng	UNKOWN_GENRE	INFECTIOUS DISEASES/PEDIATRICS	Group B streptococcal infections
4B236A283FC6F1E7C56D291BD6C6AD10364A39FE	els	1997	[1990 TO 1999]	1.3	8106	True	Winzeler	eng	UNKOWN_GENRE	BIOCHEMISTRY & MOLECULAR BIOLOGY	Transcriptional analysis of the Caulobacter 4.5 S RNA ffs gene and the physiological basis of an ffs mutant with a ts phenotype1Edited by K. Yamamoto
F8C68C4C6ADEEAFD03B5B2AA6E446460B899C0FF	els	1987	[1980 TO 1989]	1.3	767	False	Goddard	eng	UNKOWN_GENRE	GERONTOLOGY/NURSING/GERIATRICS & GERONTOLOGY	Penetrating words
B5AA32B56FD09AE1F42F60E6DF58BC2BEAA7BF96	wil	2006	[2000 TO *]	1.3	7381	True	Pesek	eng	Serial article	UNKOWN_SCI_CAT	Future Professionals and Managers: Their Attitudes Toward Unions, Organizational Beliefs, and Work Ethic
0111635BF097A3A1BE4C7112F4DA0606087373A0	els	1998	[1990 TO 1999]	1.2	1496	False	Giles	unknown	UNKOWN_GENRE	PLANNING & DEVELOPMENT/BUSINESS/MANAGEMENT	The Fortune Sellers
6C281B4F42AD9C2711AB17AA5D291E9F465C8B59	oup	1889	[* TO 1959]	1.2	820	False	KENNEDY	unknown	reply	LITERATURE	‘THE TOWN MOUSE AND COUNTRY MOUSE’
1A40CCA0EEB4D02A02F90A138D1F46467D971309	wil	1980	[1980 TO 1989]	1.3	4765	True	Smith	eng	Serial article	UNKOWN_SCI_CAT	Water Stress and Phloem Loading
04C6DC23D494457F8F48648E07D4324212B6EB5A	oup	1995	[1990 TO 1999]	1.2	194	False	UNKNOWN	unknown	correction	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	ERRATUM
49548E3D7ED1292A50FE084E3BDA06A085EABD4A	els	1999	[2000 TO *]	1.4	2267	True	Nair	unknown	UNKOWN_GENRE	ENGINEERING, CHEMICAL	Microfines disk centrifuge pneumatic classifier for fluid energy-based comminution systems
9D1FC9A73AC92FFE09B9211D18E53006E9895BB4	els	2001	[2000 TO *]	1.2	743	True	Araujo-Moreira	unknown	UNKOWN_GENRE	PHYSICS, CONDENSED MATTER/MATERIALS SCIENCE/MATERIALS SCIENCE, MULTIDISCIPLINARY	Structural, thermal and magnetic properties of Pr-123 polycrystalline and thin film superconductors
D0ADADCCA35D15074B5F9FE22A9AD41E574D1145	els	1989	[1990 TO 1999]	1.2	2944	True	Bakry	unknown	UNKOWN_GENRE	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE/COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS/ENGINEERING, ELECTRICAL & ELECTRONIC	A computer investigation of telephone traffic on final routes
FD436888CEADE3E74C32E2C8A8BFBA33E02D4947	els	1990	[1990 TO 1999]	1.3	6628	True	Philippe	unknown	UNKOWN_GENRE	BIOCHEMISTRY & MOLECULAR BIOLOGY	Target site of Escherichia coli ribosomal protein S15 on its messenger RNA
4CA280DE468BF1F7174816F69C8A663D589A514B	wil	1999	[2000 TO *]	1.4	1	True	Neale	eng	Serial article	UNKOWN_SCI_CAT	Exploring Pandora's Box; The Impact of Diversity and Conflict on Work Group Performance
A9A88EC373C63630294C5D792BB10D8E219DBABC	wil	2007	[2000 TO *]	1.3	6198	True	Hewitt	eng	Serial article	UNKOWN_SCI_CAT	Never Ending Stories: Recent Trends in the Historiography of Jammu and Kashmir
2F61664B43117023D681F4D06D1D3EE632AC8C94	els	1901	[* TO 1959]	1.2	693	False	UNKNOWN	unknown	UNKOWN_GENRE	MEDICINE, GENERAL & INTERNAL	THE EDINBURGH UNIVERSITY CLUB : LORD LISTER ON MEDICAL EXAMINATIONS.
